transaction_id,account_id,date,amount,type,description
TXN0150,ACCT010,2026-02-16,55.00,ach_debit,Streaming service
TXN0025,ACCT002,2026-02-18,1200.00,ach_debit,Rent payment
TXN0058,ACCT004,2026-02-18,800.00,ach_debit,Rent payment
TXN0090,ACCT006,2026-02-18,1500.00,ach_debit,Rent payment
TXN0119,ACCT008,2026-02-18,320.00,check_withdrawal,Check #3002 - Garden supplies
TXN0134,ACCT009,2026-02-18,1800.00,ach_debit,Rent payment
TXN0153,ACCT010,2026-02-18,120.00,ach_debit,Gym membership
TXN0046,ACCT003,2026-02-20,800.00,ach_debit,Mortgage payment
TXN0156,ACCT010,2026-02-20,85.00,ach_debit,Cloud storage
TXN0028,ACCT002,2026-02-21,250.00,ach_debit,Car payment
TXN0108,ACCT007,2026-02-21,1800.00,ach_debit,Rent payment
TXN0178,ACCT011,2026-02-21,1100.00,ach_debit,Rent payment
TXN0009,ACCT001,2026-02-23,150.00,ach_debit,Phone bill
TXN0061,ACCT004,2026-02-23,200.00,ach_debit,Utilities
TXN0093,ACCT006,2026-02-23,180.00,ach_debit,Internet and phone
TXN0123,ACCT008,2026-02-23,95.00,ach_debit,Newspaper subscription
TXN0159,ACCT010,2026-02-23,200.00,ach_debit,Phone bill
TXN0183,ACCT011,2026-02-23,8000.00,cash_deposit,Cash deposit - book advance
TXN0137,ACCT009,2026-02-25,350.00,ach_debit,Car insurance
TXN0162,ACCT010,2026-02-25,150.00,ach_debit,Insurance
TXN0181,ACCT011,2026-02-25,250.00,ach_debit,Utilities
TXN0004,ACCT001,2026-02-26,2800.00,ach_credit,Payroll deposit - Analytical Engines Ltd
TXN0020,ACCT002,2026-02-26,3500.00,ach_credit,Payroll deposit - Tesla Electric Co
TXN0039,ACCT003,2026-02-26,4000.00,ach_credit,Payroll deposit - Cambridge University
TXN0054,ACCT004,2026-02-26,1800.00,ach_credit,Payroll deposit - Tanaka Consulting
TXN0069,ACCT005,2026-02-26,3800.00,ach_credit,Payroll deposit - Institut du Radium
TXN0085,ACCT006,2026-02-26,3200.00,ach_credit,Payroll deposit - Renaissance Studios
TXN0103,ACCT007,2026-02-26,4500.00,ach_credit,Payroll deposit - The Academy
TXN0129,ACCT009,2026-02-26,4500.00,ach_credit,Payroll deposit - Publisher Corp
TXN0145,ACCT010,2026-02-26,2800.00,ach_credit,Payroll deposit - Strategic Solutions
TXN0173,ACCT011,2026-02-26,3000.00,ach_credit,Payroll deposit - Gothic Publishing
TXN0044,ACCT003,2026-02-28,200.00,cash_deposit,Cash deposit
TXN0076,ACCT005,2026-02-28,2200.00,ach_debit,Mortgage and bills autopay
TXN0139,ACCT009,2026-02-28,15000.00,wire_incoming,Incoming wire - estate proceeds
TXN0165,ACCT010,2026-02-28,1200.00,ach_debit,Rent payment
TXN0190,ACCT012,2026-02-28,45.00,ach_debit,Spotify
TXN0111,ACCT007,2026-03-03,12000.00,cash_deposit,Cash deposit - philosophy conference honorarium
TXN0012,ACCT001,2026-03-05,85.00,ach_debit,Streaming subscription
TXN0064,ACCT004,2026-03-05,150.00,cash_withdrawal,ATM withdrawal
TXN0096,ACCT006,2026-03-05,300.00,cash_withdrawal,ATM withdrawal
TXN0168,ACCT010,2026-03-05,60.00,ach_debit,Domain renewal
TXN0031,ACCT002,2026-03-07,320.00,check_withdrawal,Check #1002 - Supplies
TXN0048,ACCT003,2026-03-10,8900.00,cash_withdrawal,Cash withdrawal
TXN0080,ACCT005,2026-03-10,100.00,ach_debit,Lab supplies subscription
TXN0114,ACCT007,2026-03-10,400.00,cash_withdrawal,ATM withdrawal
TXN0120,ACCT008,2026-03-10,280.00,check_withdrawal,Check #3003 - Books
TXN0193,ACCT012,2026-03-10,85.00,ach_debit,School supplies
TXN0005,ACCT001,2026-03-12,2800.00,ach_credit,Payroll deposit - Analytical Engines Ltd
TXN0021,ACCT002,2026-03-12,3500.00,ach_credit,Payroll deposit - Tesla Electric Co
TXN0040,ACCT003,2026-03-12,4000.00,ach_credit,Payroll deposit - Cambridge University
TXN0055,ACCT004,2026-03-12,1800.00,ach_credit,Payroll deposit - Tanaka Consulting
TXN0070,ACCT005,2026-03-12,3800.00,ach_credit,Payroll deposit - Institut du Radium
TXN0086,ACCT006,2026-03-12,3200.00,ach_credit,Payroll deposit - Renaissance Studios
TXN0104,ACCT007,2026-03-12,4500.00,ach_credit,Payroll deposit - The Academy
TXN0130,ACCT009,2026-03-12,4500.00,ach_credit,Payroll deposit - Publisher Corp
TXN0146,ACCT010,2026-03-12,2800.00,ach_credit,Payroll deposit - Strategic Solutions
TXN0174,ACCT011,2026-03-12,3000.00,ach_credit,Payroll deposit - Gothic Publishing
TXN0077,ACCT005,2026-03-14,2200.00,ach_debit,Mortgage and bills autopay
TXN0032,ACCT002,2026-03-15,7200.00,cash_deposit,Cash deposit
TXN0049,ACCT003,2026-03-15,9200.00,cash_withdrawal,Cash withdrawal
TXN0099,ACCT006,2026-03-15,380.00,check_withdrawal,Check #2002 - Canvas order
TXN0141,ACCT009,2026-03-15,250.00,cash_withdrawal,ATM withdrawal
TXN0117,ACCT008,2026-03-16,2800.00,ach_credit,Pension deposit - Royal Literary Fund
TXN0184,ACCT011,2026-03-16,8000.00,cash_deposit,Cash deposit - speaking fee
TXN0188,ACCT012,2026-03-16,500.00,ach_credit,Transfer from family
TXN0151,ACCT010,2026-03-18,55.00,ach_debit,Streaming service
TXN0026,ACCT002,2026-03-20,1200.00,ach_debit,Rent payment
TXN0033,ACCT002,2026-03-20,8800.00,cash_deposit,Cash deposit
TXN0050,ACCT003,2026-03-20,7800.00,cash_withdrawal,Cash withdrawal
TXN0059,ACCT004,2026-03-20,800.00,ach_debit,Rent payment
TXN0091,ACCT006,2026-03-20,1500.00,ach_debit,Rent payment
TXN0135,ACCT009,2026-03-20,1800.00,ach_debit,Rent payment
TXN0154,ACCT010,2026-03-20,120.00,ach_debit,Gym membership
TXN0047,ACCT003,2026-03-22,800.00,ach_debit,Mortgage payment
TXN0157,ACCT010,2026-03-22,85.00,ach_debit,Cloud storage
TXN0029,ACCT002,2026-03-23,250.00,ach_debit,Car payment
TXN0109,ACCT007,2026-03-23,1800.00,ach_debit,Rent payment
TXN0179,ACCT011,2026-03-23,1100.00,ach_debit,Rent payment
TXN0010,ACCT001,2026-03-25,150.00,ach_debit,Phone bill
TXN0034,ACCT002,2026-03-25,9100.00,cash_deposit,Cash deposit
TXN0062,ACCT004,2026-03-25,200.00,ach_debit,Utilities
TXN0094,ACCT006,2026-03-25,180.00,ach_debit,Internet and phone
TXN0124,ACCT008,2026-03-25,95.00,ach_debit,Newspaper subscription
TXN0160,ACCT010,2026-03-25,200.00,ach_debit,Phone bill
TXN0195,ACCT012,2026-03-25,40.00,cash_withdrawal,ATM withdrawal
TXN0006,ACCT001,2026-03-26,2800.00,ach_credit,Payroll deposit - Analytical Engines Ltd
TXN0022,ACCT002,2026-03-26,3500.00,ach_credit,Payroll deposit - Tesla Electric Co
TXN0041,ACCT003,2026-03-26,4000.00,ach_credit,Payroll deposit - Cambridge University
TXN0056,ACCT004,2026-03-26,1800.00,ach_credit,Payroll deposit - Tanaka Consulting
TXN0071,ACCT005,2026-03-26,3800.00,ach_credit,Payroll deposit - Institut du Radium
TXN0087,ACCT006,2026-03-26,3200.00,ach_credit,Payroll deposit - Renaissance Studios
TXN0105,ACCT007,2026-03-26,4500.00,ach_credit,Payroll deposit - The Academy
TXN0131,ACCT009,2026-03-26,4500.00,ach_credit,Payroll deposit - Publisher Corp
TXN0147,ACCT010,2026-03-26,2800.00,ach_credit,Payroll deposit - Strategic Solutions
TXN0175,ACCT011,2026-03-26,3000.00,ach_credit,Payroll deposit - Gothic Publishing
TXN0112,ACCT007,2026-03-27,6500.00,cash_deposit,Cash deposit - speaking engagement
TXN0138,ACCT009,2026-03-27,350.00,ach_debit,Car insurance
TXN0163,ACCT010,2026-03-27,150.00,ach_debit,Insurance
TXN0182,ACCT011,2026-03-27,250.00,ach_debit,Utilities
TXN0078,ACCT005,2026-03-28,2200.00,ach_debit,Mortgage and bills autopay
TXN0035,ACCT002,2026-03-29,6500.00,cash_deposit,Cash deposit
TXN0014,ACCT001,2026-03-30,9500.00,cash_deposit,Cash deposit
TXN0121,ACCT008,2026-03-30,510.00,check_withdrawal,Check #3004 - Repairs
TXN0166,ACCT010,2026-03-30,1200.00,ach_debit,Rent payment
TXN0191,ACCT012,2026-03-30,45.00,ach_debit,Spotify
TXN0015,ACCT001,2026-03-31,9500.00,cash_deposit,Cash deposit
TXN0016,ACCT001,2026-04-01,9500.00,cash_deposit,Cash deposit
TXN0013,ACCT001,2026-04-04,85.00,ach_debit,Streaming subscription
TXN0097,ACCT006,2026-04-04,250.00,cash_withdrawal,ATM withdrawal
TXN0169,ACCT010,2026-04-04,45.00,ach_debit,VPN service
TXN0081,ACCT005,2026-04-07,52000.00,ach_debit,Investment property transfer
TXN0007,ACCT001,2026-04-09,2800.00,ach_credit,Payroll deposit - Analytical Engines Ltd
TXN0023,ACCT002,2026-04-09,3500.00,ach_credit,Payroll deposit - Tesla Electric Co
TXN0042,ACCT003,2026-04-09,4000.00,ach_credit,Payroll deposit - Cambridge University
TXN0065,ACCT004,2026-04-09,75000.00,ach_credit,Consulting project settlement payment
TXN0072,ACCT005,2026-04-09,3800.00,ach_credit,Payroll deposit - Institut du Radium
TXN0088,ACCT006,2026-04-09,3200.00,ach_credit,Payroll deposit - Renaissance Studios
TXN0106,ACCT007,2026-04-09,4500.00,ach_credit,Payroll deposit - The Academy
TXN0132,ACCT009,2026-04-09,4500.00,ach_credit,Payroll deposit - Publisher Corp
TXN0148,ACCT010,2026-04-09,2800.00,ach_credit,Payroll deposit - Strategic Solutions
TXN0176,ACCT011,2026-04-09,3000.00,ach_credit,Payroll deposit - Gothic Publishing
